Multiplier Combination,Number of Balls,Hidden Multiplier,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",4,0.02,0.024310125000000005,0.08748941603933158,0.975689875
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",5,0.02,0.025525631250000007,0.11078182471723375,0.97447436875
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",6,0.02,0.02680191281250001,0.1346145727224528,0.9731980871875
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",7,0.02,0.02814200845312501,0.15896825673210868,0.971857991546875
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",8,0.02,0.02954910887578126,0.18381999528191972,0.9704508911242188
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",9,0.02,0.031026564319570325,0.2091432566946524,0.9689734356804297
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",10,0.02,0.03257789253554884,0.23490770268906813,0.9674221074644511
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",11,0.02,0.03420678716232629,0.2610790520627184,0.9657932128376737
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",12,0.02,0.0359171265204426,0.28761896923838715,0.9640828734795575
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",13,0.02,0.03771298284646473,0.3144849828316467,0.9622870171535353
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",14,0.02,0.03959863198878798,0.341630439719284,0.960401368011212
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",15,0.02,0.041578563588227375,0.3690045003459691,0.9584214364117726
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",16,0.02,0.04365749176763874,0.3965521811775321,0.9563425082323612
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",17,0.02,0.04584036635602068,0.42421445026909566,0.9541596336439793
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",18,0.02,0.048132384673821714,0.4519283818383715,0.9518676153261783
