Parameter,Number of Balls,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
Varying medal: 1.4,6,0.18282448429102383,0.7022223661381202,0.8171755157089762
Varying medal: 1.4,7,0.1910324278288179,0.7732654039651635,0.8089675721711821
Varying medal: 1.4,8,0.19956205423820061,0.8314916796010277,0.8004379457617994
Varying medal: 1.4,9,0.20842138643914299,0.8779756594066831,0.791578613560857
Varying medal: 1.4,10,0.21761817196694866,0.9140615438095893,0.7823818280330513
Varying medal: 1.4,11,0.22715982085137554,0.9412528750171493,0.7728401791486245
Varying medal: 1.4,12,0.23705333822562602,0.9611017444124464,0.762946661774374
Varying medal: 1.4,13,0.24730525152031535,0.975108818139684,0.7526947484796846
Varying medal: 1.4,14,0.25792153213763014,0.9846433097650967,0.7420784678623699
Varying medal: 1.4,15,0.2689075115501338,0.9908886059997453,0.7310924884498662
Varying medal: 1.4,16,0.28026779182813444,0.9948151642100534,0.7197322081718656
Varying medal: 1.4,17,0.2920061506702295,0.9971783623513849,0.7079938493297705
Varying medal: 1.4,18,0.3041254410946277,0.9985359454369357,0.6958745589053723
Varying medal: 1.4,19,0.31662748604514523,0.9992780740839359,0.6833725139548548
Varying medal: 1.4,20,0.32951296827627496,0.9996628620462269,0.670487031723725
Varying curve: 1,1,0.07666410227907561,0.07666410227907561,0.9233358977209244
Varying curve: 1,2,0.08033913391256808,0.15422389138731463,0.9196608660874319
Varying curve: 1,3,0.08418217560395769,0.2318831794062205,0.9158178243960423
Varying curve: 1,4,0.08820008692742043,0.30880882287886213,0.9117999130725796
Varying curve: 1,5,0.09239992357041471,0.3841532995518785,0.9076000764295853
Varying curve: 1,6,0.09678893375637598,0.4570804257588893,0.903211066243624
Varying curve: 1,7,0.10137455336434631,0.5267931885783637,0.8986254466356537
Varying curve: 1,8,0.1061643996009104,0.5925623251366848,0.8938356003990896
Varying curve: 1,9,0.11116626306940802,0.6537539923533949,0.888833736930592
Varying curve: 1,10,0.1163880980707811,0.7098546797236142,0.8836119019292189
Varying curve: 1,11,0.12183801095972446,0.7604914708776533,0.8781619890402755
